S.No,District,Total Positive Cases as on 14.05.2021,Discharged Cases as on 14.05.2021,Active Cases as on 14.05.2021,Death Cases as on 14.05.2021
1,Ariyalur,7105,6013,1037,55
2,Chengalpattu,109301,94386,13742,1173
3,Chennai,425603,375669,44313,5621
4,Coimbatore,109233,90106,18290,837
5,Cuddalore,36484,32315,3785,384
6,Dharmapuri,12769,10756,1935,78
7,Dindigul,20062,17565,2243,254
8,Erode,31035,25545,5304,186
9,Kallakurichi,15011,13322,1571,118
10,Kancheepuram,47967,42386,4886,695
11,Kanniyakumari,30517,24595,5501,421
12,Karur,11089,9431,1566,92
13,Krishnagiri,21568,16881,4531,156
14,Madurai,44832,36086,8099,647
15,Nagapattinam,18030,15766,2050,214
16,Namakkal,20947,18339,2455,153
17,Nilgiris,12005,10606,1340,59
18,Perambalur,4225,2996,1194,35
19,Pudukkottai,16543,14641,1731,171
20,Ramanathapuram,11537,9581,1808,148
21,Ranipet,26225,23214,2744,267
22,Salem,50173,45289,4228,656
23,Sivaganga,10752,9303,1308,141
24,Tenkasi,15535,13084,2216,235
25,Thanjavur,32903,27637,4891,375
26,Theni,25975,22164,3555,256
27,Thoothukudi,33523,28266,5074,183
28,Tiruchirappalli,34163,27519,6328,316
29,Tirunelveli,34500,28351,5865,284
30,Tirupathur,13814,11345,2255,214
31,Tiruppur,34661,29210,5179,272
32,Tiruvallur,77510,68540,7992,978
33,Tiruvannamalai,29622,25520,3762,340
34,Tiruvarur,19006,16987,1873,146
35,Vellore,34249,30010,3775,464
36,Villupuram,25082,21850,3079,153
37,Virudhunagar,25314,21205,3832,277
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1531377,1318982,195339,17056
