S.No,District,Total Positive Cases as on 06.08.2021,Discharged Cases as on 06.08.2021,Active Cases as on 06.08.2021,Death Cases as on 06.08.2021
1,Ariyalur,15910,15426,247,237
2,Chengalpattu,162707,159073,1225,2409
3,Chennai,539291,529046,1910,8335
4,Coimbatore,230703,226350,2164,2189
5,Cuddalore,60845,59326,703,816
6,Dharmapuri,26276,25706,335,235
7,Dindigul,32270,31477,168,625
8,Erode,94699,92385,1677,637
9,Kallakurichi,29337,28668,471,198
10,Kancheepuram,71952,70315,428,1209
11,Kanniyakumari,60278,58940,316,1022
12,Karur,22749,22220,178,351
13,Krishnagiri,41519,40866,329,324
14,Madurai,73635,72244,245,1146
15,Mayiladuthurai,21199,20679,249,271
16,Nagapattinam,18873,18173,409,291
17,Namakkal,47527,46492,580,455
18,Nilgiris,30805,30135,487,183
19,Perambalur,11533,11207,101,225
20,Pudukkottai,28334,27657,307,370
21,Ramanathapuram,20089,19613,126,350
22,Ranipet,42067,41109,215,743
23,Salem,93875,91449,849,1577
24,Sivaganga,18928,18474,255,199
25,Tenkasi,26898,26274,141,483
26,Thanjavur,68527,66651,1021,855
27,Theni,42989,42336,139,514
28,Thoothukudi,55197,54594,205,398
29,Tiruchirappalli,72862,71157,735,970
30,Tirunelveli,48025,47341,254,430
31,Tirupathur,28355,27543,211,601
32,Tiruppur,88354,86626,871,857
33,Tiruvallur,114009,111375,871,1763
34,Tiruvannamalai,52336,51153,544,639
35,Tiruvarur,38094,37320,400,374
36,Vellore,48202,46812,294,1096
37,Villupuram,44035,43340,354,341
38,Virudhunagar,45573,44872,161,540
39,Airport Surveillance (International),1018,1010,7,1
40,Airport Surveillance (Domestic),1080,1076,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2571383,2516938,20185,34260
