S.No,District,Total Positive Cases as on 10.07.2021,Discharged Cases as on 10.07.2021,Active Cases as on 10.07.2021,Death Cases as on 10.07.2021
1,Ariyalur,15315,14666,428,221
2,Chengalpattu,159013,155183,1457,2373
3,Chennai,534819,524904,1659,8256
4,Coimbatore,224744,218536,4108,2100
5,Cuddalore,58852,57101,963,788
6,Dharmapuri,25332,24311,799,222
7,Dindigul,31834,30946,281,607
8,Erode,91130,87521,2997,612
9,Kallakurichi,27971,26955,819,197
10,Kancheepuram,70841,69125,523,1193
11,Kanniyakumari,59427,57821,604,1002
12,Karur,22328,21696,285,347
13,Krishnagiri,40656,39621,723,312
14,Madurai,72956,71220,596,1140
15,Mayiladuthurai,20461,19902,302,257
16,Nagapattinam,18083,17484,320,279
17,Namakkal,45885,44602,851,432
18,Nilgiris,29314,28295,849,170
19,Perambalur,11256,10874,174,208
20,Pudukkottai,27505,26658,504,343
21,Ramanathapuram,19792,19314,139,339
22,Ranipet,41425,40223,470,732
23,Salem,90692,87034,2155,1503
24,Sivaganga,18202,17526,483,193
25,Tenkasi,26584,25894,214,476
26,Thanjavur,65365,62897,1658,810
27,Theni,42597,41782,309,506
28,Thoothukudi,54602,53762,458,382
29,Tiruchirappalli,70822,68356,1530,936
30,Tirunelveli,47396,46699,280,417
31,Tirupathur,27763,26948,232,583
32,Tiruppur,85228,82823,1607,798
33,Tiruvallur,111982,109365,895,1722
34,Tiruvannamalai,50631,48780,1232,619
35,Tiruvarur,37217,36452,414,351
36,Vellore,47364,45907,385,1072
37,Villupuram,43069,42173,562,334
38,Virudhunagar,45049,44013,499,537
39,Airport Surveillance (International),1006,1002,3,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2516011,2449873,32767,33371
