S.No,District,Total Positive Cases as on 26.07.2021,Discharged Cases as on 26.07.2021,Active Cases as on 26.07.2021,Death Cases as on 26.07.2021
1,Ariyalur,15663,15191,240,232
2,Chengalpattu,161417,157867,1154,2396
3,Chennai,537249,527435,1502,8312
4,Coimbatore,228334,224144,2028,2162
5,Cuddalore,60107,58467,837,803
6,Dharmapuri,25950,25357,361,232
7,Dindigul,32117,31265,234,618
8,Erode,92952,90830,1494,628
9,Kallakurichi,28839,28053,589,197
10,Kancheepuram,71492,69844,447,1201
11,Kanniyakumari,59974,58508,448,1018
12,Karur,22567,22033,183,351
13,Krishnagiri,41175,40504,350,321
14,Madurai,73396,71944,310,1142
15,Mayiladuthurai,20903,20330,306,267
16,Nagapattinam,18527,17861,378,288
17,Namakkal,46907,45901,566,440
18,Nilgiris,30304,29426,701,177
19,Perambalur,11439,11058,162,219
20,Pudukkottai,28006,27264,379,363
21,Ramanathapuram,19988,19493,147,348
22,Ranipet,41863,40793,331,739
23,Salem,92942,89955,1448,1539
24,Sivaganga,18665,18091,379,195
25,Tenkasi,26777,26141,157,479
26,Thanjavur,67381,65166,1371,844
27,Theni,42864,42161,189,514
28,Thoothukudi,54999,54321,288,390
29,Tiruchirappalli,72078,70221,900,957
30,Tirunelveli,47775,47046,304,425
31,Tirupathur,28153,27244,310,599
32,Tiruppur,87398,85261,1321,816
33,Tiruvallur,113066,110607,710,1749
34,Tiruvannamalai,51811,50398,777,636
35,Tiruvarur,37663,36963,335,365
36,Vellore,47921,46453,374,1094
37,Villupuram,43681,42851,490,340
38,Virudhunagar,45420,44629,252,539
39,Airport Surveillance (International),1013,1005,7,1
40,Airport Surveillance (Domestic),1078,1074,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2550282,2493583,22762,33937
