S.No,District,Total Positive Cases as on 30.07.2021,Discharged Cases as on 30.07.2021,Active Cases as on 30.07.2021,Death Cases as on 30.07.2021
1,Ariyalur,15751,15294,221,236
2,Chengalpattu,161840,158331,1108,2401
3,Chennai,537951,528064,1569,8318
4,Coimbatore,229106,225013,1917,2176
5,Cuddalore,60381,58802,770,809
6,Dharmapuri,26076,25502,339,235
7,Dindigul,32181,31354,205,622
8,Erode,93532,91495,1404,633
9,Kallakurichi,29014,28299,517,198
10,Kancheepuram,71663,70016,444,1203
11,Kanniyakumari,60065,58646,400,1019
12,Karur,22633,22101,181,351
13,Krishnagiri,41317,40656,339,322
14,Madurai,73476,72042,291,1143
15,Mayiladuthurai,21003,20429,306,268
16,Nagapattinam,18635,17961,385,289
17,Namakkal,47143,46123,575,445
18,Nilgiris,30479,29759,541,179
19,Perambalur,11469,11114,134,221
20,Pudukkottai,28110,27382,364,364
21,Ramanathapuram,20025,19537,139,349
22,Ranipet,41946,40926,279,741
23,Salem,93321,90573,1198,1550
24,Sivaganga,18767,18208,363,196
25,Tenkasi,26844,26213,151,480
26,Thanjavur,67742,65733,1162,847
27,Theni,42914,42231,169,514
28,Thoothukudi,55066,54420,252,394
29,Tiruchirappalli,72344,70597,785,962
30,Tirunelveli,47875,47108,340,427
31,Tirupathur,28226,27352,273,601
32,Tiruppur,87723,85833,1065,825
33,Tiruvallur,113353,110876,726,1751
34,Tiruvannamalai,52016,50684,695,637
35,Tiruvarur,37769,37081,321,367
36,Vellore,48035,46593,348,1094
37,Villupuram,43823,43051,431,341
38,Virudhunagar,45478,44720,218,540
39,Airport Surveillance (International),1013,1006,6,1
40,Airport Surveillance (Domestic),1078,1074,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2557611,2502627,20934,34050
