S.No,District,Total Positive Cases as on 28.07.2021,Discharged Cases as on 28.07.2021,Active Cases as on 28.07.2021,Death Cases as on 28.07.2021
1,Ariyalur,15705,15247,223,235
2,Chengalpattu,161623,158102,1121,2400
3,Chennai,537546,527757,1474,8315
4,Coimbatore,228685,224599,1917,2169
5,Cuddalore,60241,58642,792,807
6,Dharmapuri,26018,25432,353,233
7,Dindigul,32149,31314,217,618
8,Erode,93207,91224,1351,632
9,Kallakurichi,28921,28181,542,198
10,Kancheepuram,71575,69930,443,1202
11,Kanniyakumari,60013,58578,417,1018
12,Karur,22598,22067,180,351
13,Krishnagiri,41238,40579,337,322
14,Madurai,73443,71995,305,1143
15,Mayiladuthurai,20963,20386,310,267
16,Nagapattinam,18571,17911,372,288
17,Namakkal,47007,46030,534,443
18,Nilgiris,30399,29608,612,179
19,Perambalur,11453,11085,147,221
20,Pudukkottai,28066,27321,382,363
21,Ramanathapuram,20004,19516,140,348
22,Ranipet,41904,40861,304,739
23,Salem,93140,90258,1337,1545
24,Sivaganga,18719,18148,375,196
25,Tenkasi,26816,26180,157,479
26,Thanjavur,67538,65452,1240,846
27,Theni,42888,42197,177,514
28,Thoothukudi,55027,54375,261,391
29,Tiruchirappalli,72190,70408,822,960
30,Tirunelveli,47830,47078,326,426
31,Tirupathur,28195,27302,293,600
32,Tiruppur,87570,85563,1189,818
33,Tiruvallur,113201,110736,714,1751
34,Tiruvannamalai,51918,50544,738,636
35,Tiruvarur,37722,37022,334,366
36,Vellore,47987,46528,365,1094
37,Villupuram,43764,42946,478,340
38,Virudhunagar,45452,44679,233,540
39,Airport Surveillance (International),1013,1006,6,1
40,Airport Surveillance (Domestic),1078,1074,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2553805,2498289,21521,33995
