S.No,District,Total Positive Cases as on 21.07.2021,Discharged Cases as on 21.07.2021,Active Cases as on 21.07.2021,Death Cases as on 21.07.2021
1,Ariyalur,15558,15042,286,230
2,Chengalpattu,160935,157217,1330,2388
3,Chennai,536623,526646,1673,8304
4,Coimbatore,227467,222801,2525,2141
5,Cuddalore,59748,58017,929,802
6,Dharmapuri,25774,25082,461,231
7,Dindigul,32024,31178,229,617
8,Erode,92325,89763,1936,626
9,Kallakurichi,28634,27738,699,197
10,Kancheepuram,71293,69635,457,1201
11,Kanniyakumari,59805,58324,467,1014
12,Karur,22504,21942,212,350
13,Krishnagiri,41052,40282,452,318
14,Madurai,73282,71797,345,1140
15,Mayiladuthurai,20769,20195,308,266
16,Nagapattinam,18391,17705,400,286
17,Namakkal,46648,45437,773,438
18,Nilgiris,30013,29002,838,173
19,Perambalur,11401,11003,183,215
20,Pudukkottai,27831,27099,376,356
21,Ramanathapuram,19933,19434,153,346
22,Ranipet,41732,40638,356,738
23,Salem,92397,89210,1653,1534
24,Sivaganga,18563,17978,390,195
25,Tenkasi,26709,26079,153,477
26,Thanjavur,66901,64485,1582,834
27,Theni,42809,42040,258,511
28,Thoothukudi,54890,54178,325,387
29,Tiruchirappalli,71749,69713,1082,954
30,Tirunelveli,47621,46974,223,424
31,Tirupathur,28009,27115,297,597
32,Tiruppur,86916,84539,1562,815
33,Tiruvallur,112760,110256,763,1741
34,Tiruvannamalai,51493,49988,872,633
35,Tiruvarur,37533,36822,348,363
36,Vellore,47754,46236,428,1090
37,Villupuram,43476,42644,495,337
38,Virudhunagar,45329,44463,328,538
39,Airport Surveillance (International),1013,1002,10,1
40,Airport Surveillance (Domestic),1076,1074,1,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2541168,2481201,26158,33809
