S.No,District,Total Positive Cases as on 31.07.2021,Discharged Cases as on 31.07.2021,Active Cases as on 31.07.2021,Death Cases as on 31.07.2021
1,Ariyalur,15769,15320,213,236
2,Chengalpattu,161963,158446,1116,2401
3,Chennai,538152,528207,1627,8318
4,Coimbatore,229353,225236,1940,2177
5,Cuddalore,60450,58883,756,811
6,Dharmapuri,26105,25528,342,235
7,Dindigul,32192,31371,199,622
8,Erode,93694,91599,1462,633
9,Kallakurichi,29066,28367,501,198
10,Kancheepuram,71706,70065,438,1203
11,Kanniyakumari,60100,58688,393,1019
12,Karur,22642,22122,169,351
13,Krishnagiri,41359,40699,338,322
14,Madurai,73492,72065,283,1144
15,Mayiladuthurai,21041,20457,315,269
16,Nagapattinam,18653,17983,381,289
17,Namakkal,47206,46165,593,448
18,Nilgiris,30524,29805,540,179
19,Perambalur,11481,11135,124,222
20,Pudukkottai,28130,27420,345,365
21,Ramanathapuram,20034,19546,139,349
22,Ranipet,41964,40955,268,741
23,Salem,93396,90705,1137,1554
24,Sivaganga,18789,18248,344,197
25,Tenkasi,26856,26223,153,480
26,Thanjavur,67863,65885,1131,847
27,Theni,42925,42252,159,514
28,Thoothukudi,55078,54446,238,394
29,Tiruchirappalli,72422,70707,751,964
30,Tirunelveli,47900,47130,342,428
31,Tirupathur,28245,27378,266,601
32,Tiruppur,87801,85966,1004,831
33,Tiruvallur,113440,110952,736,1752
34,Tiruvannamalai,52061,50758,666,637
35,Tiruvarur,37824,37119,338,367
36,Vellore,48057,46624,338,1095
37,Villupuram,43851,43098,412,341
38,Virudhunagar,45494,44744,210,540
39,Airport Surveillance (International),1013,1006,6,1
40,Airport Surveillance (Domestic),1078,1074,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2559597,2504805,20716,34076
