S.No,District,Total Positive Cases as on 28.05.2021,Discharged Cases as on 28.05.2021,Active Cases as on 28.05.2021,Death Cases as on 28.05.2021
1,Ariyalur,10510,7937,2473,100
2,Chengalpattu,136664,121170,13795,1699
3,Chennai,496706,448377,41498,6831
4,Coimbatore,159762,120258,38336,1168
5,Cuddalore,46720,38822,7419,479
6,Dharmapuri,17617,14315,3183,119
7,Dindigul,25980,22167,3451,362
8,Erode,51401,37125,13965,311
9,Kallakurichi,20173,15974,4070,129
10,Kancheepuram,61593,53695,6993,905
11,Kanniyakumari,46078,35289,10120,669
12,Karur,15744,12361,3203,180
13,Krishnagiri,31296,25070,6037,189
14,Madurai,62603,45659,16086,858
15,Nagapattinam,27089,21587,5190,312
16,Namakkal,29544,23500,5823,221
17,Nilgiris,17448,14033,3333,82
18,Perambalur,7623,4719,2851,53
19,Pudukkottai,21849,17806,3848,195
20,Ramanathapuram,15869,12513,3151,205
21,Ranipet,33280,28219,4653,408
22,Salem,61629,54030,6683,916
23,Sivaganga,13814,11616,2041,157
24,Tenkasi,21400,17013,4079,308
25,Thanjavur,44934,36840,7592,502
26,Theni,34784,27796,6659,329
27,Thoothukudi,45789,37690,7839,260
28,Tiruchirappalli,53854,42494,10835,525
29,Tirunelveli,42067,36399,5330,338
30,Tirupathur,21541,16853,4357,331
31,Tiruppur,56354,39035,16894,425
32,Tiruvallur,98445,86747,10376,1322
33,Tiruvannamalai,39588,31463,7729,396
34,Tiruvarur,28093,21861,6046,186
35,Vellore,40958,36493,3775,690
36,Villupuram,32514,27781,4499,234
37,Virudhunagar,35880,27329,8172,379
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2009700,1674539,312386,22775
