S.No,District,Total Positive Cases as on 05.06.2021,Discharged Cases as on 05.06.2021,Active Cases as on 05.06.2021,Death Cases as on 05.06.2021
1,Ariyalur,12513,10220,2150,143
2,Chengalpattu,145501,135922,7521,2058
3,Chennai,515018,483303,24290,7425
4,Coimbatore,185371,150245,33658,1468
5,Cuddalore,51522,45663,5283,576
6,Dharmapuri,20279,17207,2932,140
7,Dindigul,28554,25504,2598,452
8,Erode,64596,48269,15902,425
9,Kallakurichi,22688,18163,4381,144
10,Kancheepuram,65630,61224,3375,1031
11,Kanniyakumari,52568,43861,7912,795
12,Karur,19004,15489,3250,265
13,Krishnagiri,34800,31152,3424,224
14,Madurai,67520,53944,12616,960
15,Nagapattinam,32065,26738,4936,391
16,Namakkal,36217,28584,7330,303
17,Nilgiris,21857,17410,4333,114
18,Perambalur,9503,7295,2106,102
19,Pudukkottai,24197,21487,2478,232
20,Ramanathapuram,17833,14629,2933,271
21,Ranipet,36280,33121,2624,535
22,Salem,71694,60316,10294,1084
23,Sivaganga,15333,13358,1807,168
24,Tenkasi,23895,20139,3384,372
25,Thanjavur,52083,44678,6854,551
26,Theni,38685,33443,4857,385
27,Thoothukudi,49828,42795,6735,298
28,Tiruchirappalli,61209,49743,10815,651
29,Tirunelveli,44832,40429,4037,366
30,Tirupathur,24525,20795,3341,389
31,Tiruppur,67100,47798,18754,548
32,Tiruvallur,104515,97723,5303,1489
33,Tiruvannamalai,43532,36127,6963,442
34,Tiruvarur,32585,27101,5261,223
35,Vellore,43696,40265,2612,819
36,Villupuram,37226,32077,4873,276
37,Virudhunagar,40051,34058,5539,454
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2216812,1932778,257463,26571
