S.No,District,Total Positive Cases as on 18.06.2021,Discharged Cases as on 18.06.2021,Active Cases as on 18.06.2021,Death Cases as on 18.06.2021
1,Ariyalur,14036,13257,597,182
2,Chengalpattu,153451,149208,1949,2294
3,Chennai,528322,516961,3360,8001
4,Coimbatore,210573,197075,11644,1854
5,Cuddalore,56130,53132,2291,707
6,Dharmapuri,23176,21370,1622,184
7,Dindigul,30891,29451,884,556
8,Erode,81861,71972,9365,524
9,Kallakurichi,25503,23418,1898,187
10,Kancheepuram,69078,66919,1016,1143
11,Kanniyakumari,57653,53350,3362,941
12,Karur,21165,19979,856,330
13,Krishnagiri,38207,36219,1710,278
14,Madurai,70997,68211,1726,1060
15,Nagapattinam,36800,34280,2041,479
16,Namakkal,41756,38845,2543,368
17,Nilgiris,26843,24264,2437,142
18,Perambalur,10643,10008,457,178
19,Pudukkottai,26020,24810,926,284
20,Ramanathapuram,19188,18200,668,320
21,Ranipet,39683,37744,1288,651
22,Salem,82764,76224,5196,1344
23,Sivaganga,16767,15670,912,185
24,Tenkasi,26047,24612,991,444
25,Thanjavur,60045,55735,3648,662
26,Theni,41486,39611,1403,472
27,Thoothukudi,53304,50856,2085,363
28,Tiruchirappalli,66644,62581,3239,824
29,Tirunelveli,47035,45377,1258,400
30,Tirupathur,26953,25766,671,516
31,Tiruppur,77754,68153,8917,684
32,Tiruvallur,109081,106216,1220,1645
33,Tiruvannamalai,47318,45304,1459,555
34,Tiruvarur,35834,34148,1392,294
35,Vellore,46108,44890,263,955
36,Villupuram,41355,38759,2275,321
37,Virudhunagar,43518,41575,1437,506
38,Airport Surveillance (International),1005,1001,3,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2406497,2286653,89009,30835
