S.No,District,Total Positive Cases as on 19.06.2021,Discharged Cases as on 19.06.2021,Active Cases as on 19.06.2021,Death Cases as on 19.06.2021
1,Ariyalur,14127,13384,560,183
2,Chengalpattu,153794,149743,1748,2303
3,Chennai,528768,518474,2262,8032
4,Coimbatore,211588,198526,11191,1871
5,Cuddalore,56339,53614,2011,714
6,Dharmapuri,23294,21662,1446,186
7,Dindigul,30986,29639,786,561
8,Erode,82794,73335,8928,531
9,Kallakurichi,25677,23898,1592,187
10,Kancheepuram,69210,67246,817,1147
11,Kanniyakumari,57804,53905,2955,944
12,Karur,21283,20108,844,331
13,Krishnagiri,38389,36474,1633,282
14,Madurai,71142,68846,1233,1063
15,Nagapattinam,36958,34770,1707,481
16,Namakkal,42085,39266,2450,369
17,Nilgiris,26983,24683,2157,143
18,Perambalur,10702,10121,401,180
19,Pudukkottai,26107,24944,878,285
20,Ramanathapuram,19252,18276,653,323
21,Ranipet,39842,37994,1194,654
22,Salem,83297,77147,4795,1355
23,Sivaganga,16842,15752,905,185
24,Tenkasi,26154,24773,932,449
25,Thanjavur,60411,56385,3357,669
26,Theni,41609,39834,1302,473
27,Thoothukudi,53436,51165,1906,365
28,Tiruchirappalli,66876,63091,2952,833
29,Tirunelveli,47059,45626,1029,404
30,Tirupathur,27042,25887,628,527
31,Tiruppur,78243,71049,6506,688
32,Tiruvallur,109287,106521,1118,1648
33,Tiruvannamalai,47491,45594,1342,555
34,Tiruvarur,35961,34429,1228,304
35,Vellore,46197,45015,225,957
36,Villupuram,41504,39549,1634,321
37,Virudhunagar,43639,41657,1472,510
38,Airport Surveillance (International),1005,1001,3,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2414680,2304885,78780,31015
