S.No,District,Total Positive Cases as on 26.06.2021,Discharged Cases as on 26.06.2021,Active Cases as on 26.06.2021,Death Cases as on 26.06.2021
1,Ariyalur,14613,13807,605,201
2,Chengalpattu,155951,151269,2341,2341
3,Chennai,531443,519701,3590,8152
4,Coimbatore,217179,209054,6122,2003
5,Cuddalore,57499,55412,1339,748
6,Dharmapuri,24066,23084,782,200
7,Dindigul,31429,30533,315,581
8,Erode,87685,82597,4509,579
9,Kallakurichi,26612,25225,1196,191
10,Kancheepuram,69924,68274,483,1167
11,Kanniyakumari,58620,57202,449,969
12,Karur,21873,20767,770,336
13,Krishnagiri,39442,38035,1112,295
14,Madurai,71984,70284,619,1081
15,Nagapattinam,37730,36537,682,511
16,Namakkal,43952,41489,2052,411
17,Nilgiris,27986,27089,739,158
18,Perambalur,10973,10523,256,194
19,Pudukkottai,26678,25809,554,315
20,Ramanathapuram,19545,18877,338,330
21,Ranipet,40623,39230,693,700
22,Salem,86493,82452,2598,1443
23,Sivaganga,17430,16563,679,188
24,Tenkasi,26374,25604,310,460
25,Thanjavur,62704,59799,2204,701
26,Theni,42116,40997,633,486
27,Thoothukudi,54058,53245,439,374
28,Tiruchirappalli,68495,66554,1052,889
29,Tirunelveli,47133,46309,416,408
30,Tirupathur,27431,26324,540,567
31,Tiruppur,81125,78366,2021,738
32,Tiruvallur,110561,107982,884,1695
33,Tiruvannamalai,48727,46982,1156,589
34,Tiruvarur,36573,35569,688,316
35,Vellore,46721,45277,413,1031
36,Villupuram,42208,41294,586,328
37,Virudhunagar,44283,43005,757,521
38,Airport Surveillance (International),1005,1002,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2460747,2383624,44924,32199
