S.No,District,Total Positive Cases as on 06.06.2021,Discharged Cases as on 06.06.2021,Active Cases as on 06.06.2021,Death Cases as on 06.06.2021
1,Ariyalur,12699,10389,2166,144
2,Chengalpattu,146374,137231,7064,2079
3,Chennai,516628,487749,21404,7475
4,Coimbatore,188023,154978,31539,1506
5,Cuddalore,52061,46432,5041,588
6,Dharmapuri,20620,17572,2903,145
7,Dindigul,28842,25897,2492,453
8,Erode,66274,50347,15492,435
9,Kallakurichi,22992,18539,4306,147
10,Kancheepuram,66002,61789,3168,1045
11,Kanniyakumari,53132,44828,7490,814
12,Karur,19307,16005,3030,272
13,Krishnagiri,35141,31605,3307,229
14,Madurai,67930,55513,11443,974
15,Nagapattinam,32609,27321,4894,394
16,Namakkal,36831,29442,7080,309
17,Nilgiris,22369,17915,4338,116
18,Perambalur,9646,7611,1926,109
19,Pudukkottai,24396,21764,2393,239
20,Ramanathapuram,17957,14840,2840,277
21,Ranipet,36554,33596,2404,554
22,Salem,72778,61219,10441,1118
23,Sivaganga,15461,13542,1744,175
24,Tenkasi,24118,20419,3312,387
25,Thanjavur,52963,45484,6918,561
26,Theni,39024,34394,4234,396
27,Thoothukudi,50176,43647,6224,305
28,Tiruchirappalli,61799,50729,10398,672
29,Tirunelveli,45089,40902,3819,368
30,Tirupathur,24808,21198,3217,393
31,Tiruppur,68180,48765,18859,556
32,Tiruvallur,104904,98752,4649,1503
33,Tiruvannamalai,43968,36620,6901,447
34,Tiruvarur,32978,27978,4770,230
35,Vellore,43959,40866,2247,846
36,Villupuram,37646,32430,4932,284
37,Virudhunagar,40488,35128,4902,458
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2237233,1965939,244289,27005
