S.No,District,Total Positive Cases as on 23.02.2021,Discharged Cases as on 23.02.2021,Active Cases as on 23.02.2021,Death Cases as on 23.02.2021
1,Ariyalur,4730,4666,15,49
2,Chengalpattu,52543,51383,381,779
3,Chennai,234652,228810,1700,4142
4,Coimbatore,55544,54460,402,682
5,Cuddalore,25124,24783,54,287
6,Dharmapuri,6649,6571,23,55
7,Dindigul,11425,11169,56,200
8,Erode,14745,14471,124,150
9,Kallakurichi,10905,10791,6,108
10,Kancheepuram,29477,28957,74,446
11,Kanniyakumari,17056,16732,63,261
12,Karur,5491,5408,33,50
13,Krishnagiri,8144,7998,28,118
14,Madurai,21206,20689,57,460
15,Nagapattinam,8577,8398,46,133
16,Namakkal,11785,11635,39,111
17,Nilgiris,8335,8224,63,48
18,Perambalur,2282,2258,3,21
19,Pudukkottai,11638,11459,22,157
20,Ramanathapuram,6464,6311,16,137
21,Ranipet,16210,16004,17,189
22,Salem,32690,32153,71,466
23,Sivaganga,6769,6590,53,126
24,Tenkasi,8516,8323,34,159
25,Thanjavur,18017,17675,92,250
26,Theni,17148,16932,9,207
27,Thoothukudi,16341,16179,19,143
28,Tiruchirappalli,14938,14695,59,184
29,Tirunelveli,15710,15443,53,214
30,Tirupathur,7629,7493,10,126
31,Tiruppur,18271,17927,120,224
32,Tiruvallur,44088,43239,151,698
33,Tiruvannamalai,19469,19153,32,284
34,Tiruvarur,11332,11169,52,111
35,Vellore,20949,20548,51,350
36,Villupuram,15254,15119,22,113
37,Virudhunagar,16645,16401,12,232
38,Airport Surveillance (International),947,939,7,1
39,Airport Surveillance (Domestic),1043,1037,5,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,849166,832620,4074,12472
