S.No,District,Total Positive Cases as on 16.05.2021,Discharged Cases as on 16.05.2021,Active Cases as on 16.05.2021,Death Cases as on 16.05.2021
1,Ariyalur,7581,6104,1415,62
2,Chengalpattu,113419,98401,13788,1230
3,Chennai,438391,385297,47330,5764
4,Coimbatore,115532,92479,22181,872
5,Cuddalore,38062,32890,4773,399
6,Dharmapuri,13390,11079,2226,85
7,Dindigul,20891,18288,2342,261
8,Erode,33100,26822,6088,190
9,Kallakurichi,15846,13480,2248,118
10,Kancheepuram,50601,44125,5764,712
11,Kanniyakumari,32794,25184,7159,451
12,Karur,11627,9995,1527,105
13,Krishnagiri,22936,17239,5539,158
14,Madurai,47159,37239,9246,674
15,Nagapattinam,19201,16335,2638,228
16,Namakkal,21966,19095,2708,163
17,Nilgiris,12716,10747,1910,59
18,Perambalur,4661,3145,1478,38
19,Pudukkottai,17233,14932,2129,172
20,Ramanathapuram,12153,9869,2135,149
21,Ranipet,26911,23658,2976,277
22,Salem,51829,46184,4969,676
23,Sivaganga,11221,9572,1507,142
24,Tenkasi,16416,13414,2761,241
25,Thanjavur,34221,29403,4426,392
26,Theni,27157,22816,4073,268
27,Thoothukudi,35335,29762,5384,189
28,Tiruchirappalli,36975,29156,7482,337
29,Tirunelveli,35849,29011,6547,291
30,Tirupathur,14778,11879,2674,225
31,Tiruppur,36592,30292,6025,275
32,Tiruvallur,80850,71383,8452,1015
33,Tiruvannamalai,30702,26147,4207,348
34,Tiruvarur,19884,17617,2118,149
35,Vellore,35302,31158,3630,514
36,Villupuram,26098,22600,3341,157
37,Virudhunagar,26330,21904,4144,282
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1598216,1361204,219342,17670
