S.No,District,Total Positive Cases as on 02.07.2021,Discharged Cases as on 02.07.2021,Active Cases as on 02.07.2021,Death Cases as on 02.07.2021
1,Ariyalur,14965,14289,460,216
2,Chengalpattu,157280,153145,1770,2365
3,Chennai,532992,522083,2713,8196
4,Coimbatore,220493,215053,3382,2058
5,Cuddalore,58176,56472,937,767
6,Dharmapuri,24703,23605,890,208
7,Dindigul,31697,30736,368,593
8,Erode,90183,85463,4123,597
9,Kallakurichi,27292,26101,997,194
10,Kancheepuram,70410,68517,713,1180
11,Kanniyakumari,59113,57545,580,988
12,Karur,22128,21397,389,342
13,Krishnagiri,40082,38785,990,307
14,Madurai,72460,70620,727,1113
15,Mayiladuthurai,20213,19694,267,252
16,Nagapattinam,17852,17303,279,270
17,Namakkal,44943,42946,1579,418
18,Nilgiris,28527,27611,752,164
19,Perambalur,11116,10631,283,202
20,Pudukkottai,27123,26158,636,329
21,Ramanathapuram,19665,19104,226,335
22,Ranipet,41031,39640,666,725
23,Salem,88561,85501,1583,1477
24,Sivaganga,17813,17008,613,192
25,Tenkasi,26438,25702,270,466
26,Thanjavur,64025,61289,1975,761
27,Theni,42419,41506,420,493
28,Thoothukudi,54457,53645,434,378
29,Tiruchirappalli,69661,67478,1269,914
30,Tirunelveli,47267,46510,345,412
31,Tirupathur,27615,26785,254,576
32,Tiruppur,83046,80632,1648,766
33,Tiruvallur,111236,108634,892,1710
34,Tiruvannamalai,49699,47939,1158,602
35,Tiruvarur,36948,36055,558,335
36,Vellore,46998,45416,527,1055
37,Villupuram,42603,41779,492,332
38,Virudhunagar,44669,43601,540,528
39,Airport Surveillance (International),1005,1002,2,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2488407,2418882,36707,32818
