S.No,District,Total Positive Cases as on 13.07.2021,Discharged Cases as on 13.07.2021,Active Cases as on 13.07.2021,Death Cases as on 13.07.2021
1,Ariyalur,15394,14782,386,226
2,Chengalpattu,159645,156026,1242,2377
3,Chennai,535439,525523,1649,8267
4,Coimbatore,225617,219730,3779,2108
5,Cuddalore,59086,57380,914,792
6,Dharmapuri,25496,24544,726,226
7,Dindigul,31872,31021,239,612
8,Erode,91305,88022,2668,615
9,Kallakurichi,28164,27195,772,197
10,Kancheepuram,70956,69286,472,1198
11,Kanniyakumari,59492,57958,527,1007
12,Karur,22383,21741,294,348
13,Krishnagiri,40801,39822,667,312
14,Madurai,73057,71357,560,1140
15,Mayiladuthurai,20554,19958,336,260
16,Nagapattinam,18183,17542,359,282
17,Namakkal,46135,44872,829,434
18,Nilgiris,29556,28499,885,172
19,Perambalur,11299,10911,180,208
20,Pudukkottai,27622,26773,501,348
21,Ramanathapuram,19829,19345,145,339
22,Ranipet,41534,40344,458,732
23,Salem,91206,87717,1970,1519
24,Sivaganga,18318,17649,475,194
25,Tenkasi,26627,25970,180,477
26,Thanjavur,65929,63205,1906,818
27,Theni,42672,41836,330,506
28,Thoothukudi,54726,53874,469,383
29,Tiruchirappalli,71129,68787,1403,939
30,Tirunelveli,47457,46802,237,418
31,Tirupathur,27855,26990,281,584
32,Tiruppur,85897,83515,1576,806
33,Tiruvallur,112209,109653,829,1727
34,Tiruvannamalai,50862,49118,1121,623
35,Tiruvarur,37303,36570,375,358
36,Vellore,47468,45988,403,1077
37,Villupuram,43216,42281,601,334
38,Virudhunagar,45140,44133,470,537
39,Airport Surveillance (International),1007,1002,4,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2523943,2459223,31218,33502
