S.No,District,Total Positive Cases as on 22.07.2021,Discharged Cases as on 22.07.2021,Active Cases as on 22.07.2021,Death Cases as on 22.07.2021
1,Ariyalur,15581,15068,283,230
2,Chengalpattu,161033,157341,1303,2389
3,Chennai,536756,526793,1658,8305
4,Coimbatore,227648,223113,2388,2147
5,Cuddalore,59824,58100,921,803
6,Dharmapuri,25814,25143,440,231
7,Dindigul,32044,31192,235,617
8,Erode,92452,89968,1858,626
9,Kallakurichi,28677,27789,691,197
10,Kancheepuram,71335,69674,460,1201
11,Kanniyakumari,59840,58365,461,1014
12,Karur,22518,21964,204,350
13,Krishnagiri,41076,40325,431,320
14,Madurai,73307,71838,329,1140
15,Mayiladuthurai,20797,20220,312,265
16,Nagapattinam,18419,17732,401,286
17,Namakkal,46702,45539,725,438
18,Nilgiris,30073,29084,816,173
19,Perambalur,11410,11016,179,215
20,Pudukkottai,27864,27133,374,357
21,Ramanathapuram,19945,19445,152,348
22,Ranipet,41758,40674,345,739
23,Salem,92513,89352,1627,1534
24,Sivaganga,18582,17999,388,195
25,Tenkasi,26720,26092,150,478
26,Thanjavur,66995,64619,1539,837
27,Theni,42821,42061,247,513
28,Thoothukudi,54911,54196,327,388
29,Tiruchirappalli,71818,69817,1045,956
30,Tirunelveli,47654,46989,241,424
31,Tirupathur,28035,27132,306,597
32,Tiruppur,87015,84665,1535,815
33,Tiruvallur,112816,110335,738,1743
34,Tiruvannamalai,51553,50084,834,635
35,Tiruvarur,37567,36849,354,364
36,Vellore,47792,46287,414,1091
37,Villupuram,43514,42682,495,337
38,Virudhunagar,45344,44497,309,538
39,Airport Surveillance (International),1013,1002,10,1
40,Airport Surveillance (Domestic),1076,1074,1,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2543040,2483676,25526,33838
